"filia";"for_what";"limit";"fact";"deviation";"date"
"ФК \МТМ\ Комунарського району";"транспортування тепла";15672;16145;3.0181214905564;"2022-01-10"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2022-01-10"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";9782;9861;0.807605806583522;"2022-01-10"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";39076;40190;2.85085474460027;"2022-01-10"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2022-01-10"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";16972;17231.88;1.53122790478437;"2022-01-10"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";65132;66456;2.03279493950745;"2022-01-10"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2022-01-10"
"ФК \МТМ\ Хортицького району";"виробництво тепла";8572;8643;0.828278114792358;"2022-01-10"
"ФК \МТМ\ Хортицького району";"транспортування тепла";29974;30963;3.2995262560886;"2022-01-10"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2022-01-10"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";6468;6531.00000000018;0.97402597402878;"2022-01-10"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";21826;21892;0.302391642994593;"2022-01-10"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2022-01-10"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";6672;6712.4;0.605515587529992;"2022-01-11"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";43532.7455583652;43597;0.147600250824187;"2022-01-11"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2022-01-11"
"ФК \МТМ\ Заводського району";"виробництво тепла";5872;5983.14;1.89271117166212;"2022-01-11"
"ФК \МТМ\ Заводського району";"транспортування тепла";10123;10190;0.661859132668186;"2022-01-11"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2022-01-11"
"ФК \МТМ\ Комунарського району";"виробництво тепла";13275;13640.8;2.75555555555558;"2022-01-11"
"ФК \МТМ\ Комунарського району";"транспортування тепла";15672;16145;3.0181214905564;"2022-01-11"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2022-01-11"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";10562;10753.2;1.81026320772579;"2022-01-11"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";39076;40190;2.85085474460027;"2022-01-11"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2022-01-11"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";16972;17412.73;2.59680650483147;"2022-01-11"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";65132;66456;2.03279493950745;"2022-01-11"
